Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Roght tol3,Right tol4,Right tol5,Right DEM
0.0,1,335.635,20.0,1.39471376,0.0,0.129687123,1000.0,30.0,A,3.0,0.0,0.05,1000.0,30.0,A
0.1,1,335.635,20.0,2.36196,0.0,0.0805255,1000.0,30.0,A,3.0,0.0,0.05,1000.0,30.0,A
0.2,1,335.635,0.0,2.125764,0.0,0.08857805,1000.0,30.0,A,3.0,0.0,0.05,1000.0,30.0,A
0.30000000000000004,1,335.635,0.0,2.916,0.0,0.06655,1000.0,30.0,A,2.5,0.0,0.05,1000.0,30.0,A
0.4,1,335.635,0.0,3.6,0.0,0.055,1000.0,30.0,A,2.5,0.0,0.05,1000.0,30.0,A
0.5,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,2.5,0.0,0.05,1000.0,30.0,A
0.6000000000000001,1,335.635,0.0,3.6,0.0,0.055,1000.0,30.0,A,2.5,0.0,0.05,1000.0,30.0,A
0.7000000000000001,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,3.0,0.0,0.05,1000.0,30.0,A
0.8,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,3.0,0.0,0.05,1000.0,30.0,A
0.9,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,3.6,0.4,1.1,2000.0,30.0,A
1.0,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
1.1,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,3.0,1.0,1.0,2000.0,30.0,A
1.2000000000000002,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,4.72392,0.0,0.0805255,1000.0,30.0,A
1.3,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,4.251528,0.0,0.08857805,1000.0,30.0,A
1.4000000000000001,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,3.8263752,0.0,0.097435855,1000.0,30.0,A
1.5,1,335.635,0.0,4.0,0.0,0.05,1000.0,30.0,A,2.0,0.5,1.0,2000.0,30.0,A
1.6,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,3.0,1.0,1.0,2000.0,30.0,A
1.7000000000000002,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,3.0,1.0,1.0,2000.0,30.0,A
1.8,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,3.0,1.0,1.0,2000.0,30.0,A
1.9000000000000001,1,335.635,0.0,2.0,0.5,1.0,1000.0,30.0,A,3.8263752,0.0,0.097435855,1000.0,30.0,A
2.0,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,3.0,1.0,1.0,2000.0,30.0,A
2.1,1,335.635,0.0,2.0,0.5,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
2.2,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
2.3000000000000003,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
2.4000000000000004,1,335.635,0.0,2.0,0.5,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
