Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Roght tol3,Right tol4,Right tol5,Right DEM
0,0,380.4722244,20,1.39471376,0,0.129687123,1000,30,A,3,0,0.05,1000,30,A
0.1,0,379.3243852,18.03127716,2.125764,0,0.08857805,1000,30,A,3,0,0.05,1000,30,A
0.2,0,379.3227536,3.448864878,2.125764,0,0.08857805,1000,30,A,3,0,0.05,1000,30,A
0.3,0,379.3219507,0,2.916,0,0.06655,1000,30,A,2.5,0,0.05,1000,30,A
0.4,0,379.1212861,0,3.6,0,0.055,1000,30,A,2.5,0,0.05,1000,30,A
0.5,0,379.1202501,0,4,0,0.05,1000,30,A,2.5,0,0.05,1000,30,A
0.6,0,379.1195508,-1.209392198,3.6,0,0.055,1000,30,A,2.5,0,0.05,1000,30,A
0.7,0,379.1174789,1.174152169,3.6,0,0.055,1000,30,A,3,0,0.05,1000,30,A
0.8,0,379.1165207,0,4,0,0.05,1000,30,A,3,0,0.05,1000,30,A
0.9,0,379.1156142,0,4,0,0.05,1000,30,A,3.6,0.4,1.1,2000,30,A
1,0,379.114138,0,4,0,0.05,1000,30,A,4,1,1,1000,30,A
1.1,0,379.1092172,0,4,0,0.05,1000,30,A,3,1,1,2000,30,A
1.2,0,379.1020691,0,4,0,0.05,1000,30,A,4.72392,0,0.0805255,1000,30,A
1.3,0,379.0965526,0,4,0,0.05,1000,30,A,4.251528,0,0.08857805,1000,30,A
1.4,0,379.0953872,0,4,0,0.05,1000,30,A,3.8263752,0,0.097435855,1000,30,A
1.5,0,379.092616,0,4,0,0.05,1000,30,A,2,0.5,1,2000,30,A
1.6,0,379.0906477,0,4,1,1,1000,30,A,3,1,1,2000,30,A
1.7,0,379.0891196,0,4,1,1,1000,30,A,3,1,1,2000,30,A
1.8,0,379.0868664,0,4,1,1,1000,30,A,3,1,1,2000,30,A
1.9,0,379.0856233,0,2,0.5,1,1000,30,A,3.8263752,0,0.097435855,1000,30,A
2,0,379.0842247,0,4,1,1,1000,30,A,3,1,1,2000,30,A
2.1,0,379.0831111,0,2,0.5,1,1000,30,A,4,1,1,1000,30,A
2.2,0,379.0711458,0,4,1,1,1000,30,A,4,1,1,1000,30,A
2.3,0,379.0666394,0,4,1,1,1000,30,A,4,1,1,1000,30,A
2.4,0,379.058015,0,2,0.5,1,1000,30,A,4,1,1,1000,30,A
2.5,0,379.0572899,0,4,1,1,1000,30,A,4,1,1,1000,30,A
2.6,0,379.0557359,0,4,1,1,1000,30,A,4,1,1,1000,30,A
2.7,0,379.0545446,0,4,1,1,1000,30,A,4,1,1,1000,30,A
2.8,0,379.0527576,0,2,0.5,1,1000,30,A,4,1,1,1000,30,A
2.9,0,379.0514626,0,1,0.2,1,1000,30,A,4,1,1,1000,30,A
3,0,378.9714868,0,1,0.2,1,1000,30,A,4,1,1,1000,30,A
3.1,0,378.9701919,0,2,0.5,1,1000,30,A,3,1,1,1000,30,A
3.2,0,378.96913,0,1,0.2,1,1000,30,A,4,1,1,1000,30,A
3.3,0,378.9674984,0,4,1,1,1000,30,A,4,1,1,1000,30,A
3.4,0,378.9662034,2.377521056,4,1,1,1000,30,A,4,1,1,2000,30,A
3.5,0,378.9644423,6.773437032,4,0.1,1,1000,30,A,3.24,0.1,1.21,2000,30,A
3.6,0,378.9626812,4.458244327,4,1,1,1000,30,A,4,1,1,2000,30,A
3.7,0,378.8878852,7.828226229,4,1,1,1000,30,A,4,1,1,2000,30,A
3.8,0,378.8864866,12.32476234,3.5,0.1,1,1000,30,A,3.6,0.4,1.1,2000,30,A
3.9,0,378.8853989,14.27143986,3.6,0.4,1.1,1000,30,A,4,1,1,2000,30,A
4,0,378.8831457,11.87440317,4.72392,0,0.0805255,1000,30,A,4,1,1,2000,30,A
4.1,0,378.8814364,5.723762634,4.72392,0.1,0.0805255,1000,30,A,5.16560652,0,0.107179441,2000,30,A
4.2,0,378.8807371,-5.478918946,4.251528,0.1,0.08857805,1000,30,A,4,1,1,2000,30,A
4.3,0,378.8795716,5.182203283,4.5,0.4,1.1,2000,30,A,4,1,1,2000,30,A
4.4,0,378.8772666,0.920837546,5.5,0.1,1,1000,30,A,4.5,1,1,2000,30,A
4.5,0,378.870507,0.611790511,3,1,1,1000,30,A,4.184141281,0,0.129687123,2000,30,A
4.6,0,378.8693934,1.662592859,3,1,1,2000,30,A,4,1,1,2000,30,A
4.7,0,378.8526627,-4.612122464,3,1,1,1000,30,A,5,1,1,2000,30,A
4.8,0,378.8502541,-0.942957155,3,1,1,2000,30,A,4,1,1,2000,30,A
4.9,0,378.8489591,-7.980803974,5.832,0.075,0.06655,1000,30,A,4,1,1,2000,30,A
5,0,378.8468872,-11.23774533,6.48,0.35,0.0605,1000,30,A,4.649045868,0,0.117897385,2000,30,A
5.1,0,378.8455146,-12.37101794,5.832,0.075,0.06655,1000,30,A,4,1,1,2000,30,A
5.2,0,374.6559275,-14.29975739,5.2488,0,0.073205,1000,30,A,4,1,1,2000,30,A
5.3,0,374.6551505,-15.6381236,5.85,0.1,0.0805255,1000,30,A,4,1,1,2000,30,A
5.4,0,374.6537519,-12.76756185,6.48,0.35,0.0605,1000,30,A,4,1,1,2000,30,A
5.5,0,374.6468887,-9.997797835,5.832,0.075,0.06655,1000,30,A,4,1,1,2000,30,A
5.6,0,374.6453607,-7.298283629,6.48,0.35,0.0605,1000,30,A,4,1,1,2000,30,A
5.7,0,374.6438068,-3.605239282,6.48,0.35,0.0605,1000,30,A,4.5,1,1,2000,30,A
5.8,0,374.6430039,0,6.48,0.35,0.0605,1000,30,A,4,1,1,2000,30,A
5.9,0,374.6418902,0,6.48,0.35,0.0605,1000,30,A,4,1,1,2000,30,A
6,0,374.6130648,0,6.48,0.35,0.0605,1000,30,A,4,1,1,2000,30,A
6.1,0,374.610967,0,5.832,0.075,0.06655,1000,30,A,5.832,0.075,0.06655,1000,30,A
6.2,0,374.6078073,0,6.48,0.35,0.0605,1000,30,A,5.832,0.075,0.06655,1000,30,A
6.3,0,374.6069267,0,6.48,0.35,0.0605,1000,30,A,5.2488,0,0.073205,1000,30,A
6.4,0,374.6052692,-2.2902356,6.48,0.35,0.0605,1000,30,A,5.2488,0.1,0.073205,1000,30,A
6.5,0,374.6036894,-2.366954109,6.48,0.35,0.0605,1000,30,A,4.251528,0,0.08857805,1000,30,A
6.6,0,374.6029124,1.189910073,5.832,0.075,0.06655,1000,30,A,3.6,0,0.055,1000,30,A
6.7,0,374.6012031,4.05575032,6.48,0.35,0.0605,1000,30,A,4,0.1,0.05,2000,30,A
6.8,0,374.599675,0,6.48,0.35,0.0605,1000,30,A,3.8263752,0,0.097435855,1000,30,A
6.9,0,374.5979657,-1.538556049,6.48,0.35,0.0605,1000,30,A,4.72392,0.1,0.0805255,1000,30,A
7,0,374.5962823,-7.222316462,5.832,0.075,0.06655,1000,30,A,5.2488,0,0.073205,1000,30,A
7.1,0,374.5945989,-12.35291911,6,1,0.05,2000,30,A,5,0.1,0.05,2000,30,A
7.2,0,374.2282589,-1.359514572,7.08588,0,0.0805255,2000,30,A,5,0.1,0.05,2000,30,A
7.3,0,374.2266791,1.238965757,6,1,0.05,2000,30,A,5.832,0.075,0.06655,1000,30,A
7.4,0,374.225177,15.76512436,7.08588,0,0.0805255,2000,30,A,5.832,0.075,0.06655,1000,30,A
7.5,0,374.2224058,3.657235938,7.08588,0,0.0805255,2000,30,A,6.48,0.35,0.0605,1000,30,A
7.6,0,374.2204116,-7.44980021,5.832,0.075,0.06655,1000,30,A,6,0.1,0.1,1000,30,A
7.7,0,374.2190907,-8.309146652,6.48,0.35,0.0605,1000,30,A,6.48,0.35,0.0605,1000,30,A
7.8,0,374.2055974,-1.344862952,6.48,0.35,0.0605,1000,30,A,4,1,1,1000,30,A
7.9,0,374.2032406,3.666716207,5.832,0.075,0.06655,1000,30,A,4,1,1,1000,30,A
8,0,374.1994076,8.259338316,7.08588,0,0.0805255,2000,30,A,4.5,0.1,1,1000,30,A
8.1,0,374.1974651,0,6.48,0.35,0.0605,1000,30,A,4,0.1,1,1000,30,A
8.2,0,374.1956522,0,6.48,0.35,0.0605,1000,30,A,4,0.1,1,1000,30,A
8.3,0,374.1939688,0,6.48,0.35,0.0605,1000,30,A,4,1,1,1000,30,A
8.4,0,374.1910681,0,6.48,0.35,0.0605,1000,30,A,4,1,1,1000,30,A
8.5,0,374.187779,0,6.48,0.35,0.0605,1000,30,A,4,0.1,1,1000,30,A
8.6,0,374.1860437,0,6.48,0.35,0.0605,1000,30,A,4,1,1,1000,30,A
8.7,0,374.184179,0,6.48,0.35,0.0605,1000,30,A,4,0.1,1,1000,30,A
8.8,0,374.1804496,0,6.48,0.35,0.0605,1000,30,A,4,1,1,1000,30,A
8.9,0,374.1788697,-2.989310656,5.832,0.075,0.06655,1000,30,A,4,1,1,1000,30,A
9,0,374.1769014,2.885699842,6.48,0.35,0.0605,1000,30,A,4,1,1,1000,30,A
9.1,0,374.1670598,0,7.2,0.9,0.055,1000,30,A,4,0.1,1,1000,30,A
9.2,0,374.1662311,0,6.48,0.35,0.0605,1000,30,A,4,0.1,1,1000,30,A
9.3,0,374.1599894,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
9.4,0,374.157788,0,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
9.5,0,374.1528672,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
9.6,0,374.1514428,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
9.7,0,374.1491378,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
9.8,0,374.1478947,0,7.2,0.9,0.055,1000,30,A,4,1,1,1000,30,A
9.9,0,374.1455897,0,6.48,0.35,0.0605,1000,30,A,4,1,1,1000,30,A
10,0,374.1412386,0,6.48,0.35,0.0605,1000,30,A,4,1,1,1000,30,A
10.1,0,374.1405394,0,7.2,0.9,0.055,1000,30,A,4,1,1,1000,30,A
10.2,0,374.1334949,0,7.2,0.9,0.055,1000,30,A,4,1,1,1000,30,A
10.3,0,374.1314489,0,7.2,0.9,0.055,1000,30,A,4,1,1,1000,30,A
10.4,0,374.1283151,0,7.2,0.9,0.055,1000,30,A,4,1,1,1000,30,A
10.5,0,374.127823,0,7.2,0.9,0.055,1000,30,A,4,1,1,1000,30,A
10.6,0,374.1236274,0,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
10.7,0,374.1227727,0,7.2,0.9,0.055,1000,30,A,6.48,0.35,0.0605,1000,30,A
10.8,0,374.1221512,0,7.2,0.9,0.055,1000,30,A,6.48,0.35,0.0605,1000,30,A
10.9,0,374.1212447,0,5.832,0.075,0.06655,1000,30,A,5.832,0.075,0.06655,1000,30,A
11,0,374.1175152,0,6.48,0.35,0.0605,1000,30,A,6.48,0.35,0.0605,1000,30,A
