Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Right tol3,Right tol4,Right tol5,Right DEM,W.S.T.
0.000,1,380.4722244,20.0,1.291,0.000,0.214,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.100,1,379.3243852,18.18796368,2.187,0.000,0.133,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.200,1,379.323427,3.4945231029999997,1.968,0.000,0.146,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.300,1,379.3219507,0.0,2.700,0.000,0.110,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.400,1,379.1212861,0.0,3.000,0.000,0.100,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.500,1,379.1202501,0.0,3.000,0.000,0.100,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.600,1,379.1195508,-1.0136090720000002,3.000,0.000,0.100,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.700,1,379.1174789,0.9934148130000001,3.000,0.000,0.100,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.800,1,379.1165207,0.0,3.000,0.000,0.100,2000.0,30.0,A,3.000,0.000,0.100,2000.0,30.0,A,0.0
0.900,1,379.1156142,0.0,3.000,0.000,0.100,2000.0,30.0,A,3.600,0.900,0.110,2000.0,30.0,A,0.0
1.000,1,379.114138,0.0,3.000,0.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
1.100,1,379.1092172,0.0,3.000,0.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
1.200,1,379.1020691,0.0,3.000,0.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
1.300,1,379.0965526,0.0,3.000,0.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
1.400,1,379.0953872,0.0,3.000,0.000,0.100,2000.0,30.0,A,2.000,0.500,0.100,2000.0,30.0,A,0.0
1.500,1,379.092616,0.0,3.000,0.000,0.100,2000.0,30.0,A,2.000,0.500,0.100,2000.0,30.0,A,0.0
1.600,1,379.0906477,0.0,3.000,0.000,0.100,2000.0,30.0,A,2.000,0.500,0.110,2000.0,30.0,A,0.0
1.700,1,379.0891196,0.0,4.000,2.000,0.100,2000.0,30.0,A,2.000,0.500,0.100,2000.0,30.0,A,0.0
1.800,1,379.0868664,0.0,4.000,2.000,0.100,2000.0,30.0,A,3.600,0.900,0.110,2000.0,30.0,A,0.0
1.900,1,379.0856233,0.0,2.000,1.000,0.100,2000.0,30.0,A,3.600,0.900,0.110,2000.0,30.0,A,0.0
2.000,1,379.0842247,0.0,4.000,2.000,0.100,2000.0,30.0,A,3.600,0.900,0.110,2000.0,30.0,A,0.0
2.100,1,379.0831111,0.0,3.600,0.900,0.110,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
2.200,1,379.0711458,0.0,4.000,2.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
2.300,1,379.0666394,0.0,4.000,2.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
2.400,1,379.058015,0.0,2.000,1.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
2.500,1,379.0572899,0.0,4.000,2.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
2.600,1,379.0557359,0.0,4.000,2.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
2.700,1,379.0545446,0.0,4.000,2.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
2.800,1,379.0527576,0.0,2.000,2.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
2.900,1,379.0514626,0.0,1.000,0.500,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
3.000,1,378.9714868,0.0,1.000,0.500,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
3.100,1,378.9701919,0.0,1.000,0.500,0.100,2000.0,30.0,A,3.500,0.100,1.000,2000.0,30.0,A,0.0
3.200,1,378.96913,0.0,0.500,0.200,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
3.300,1,378.9674984,0.0,2.000,1.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
3.400,1,378.9662034,2.343721651,4.000,2.000,0.100,2000.0,30.0,A,4.000,0.500,0.100,2000.0,30.0,A,0.0
3.500,1,378.9644423,6.756459799,4.000,0.500,0.161,2000.0,30.0,A,3.099,0.500,0.236,2000.0,30.0,A,0.0
3.600,1,378.9626812,4.457819888,4.000,2.000,0.100,2000.0,30.0,A,4.000,0.500,0.100,2000.0,30.0,A,0.0
3.700,1,378.8878852,7.843841622000001,4.000,2.000,0.100,2000.0,30.0,A,4.000,0.500,0.100,2000.0,30.0,A,0.0
3.800,1,378.8864866,12.35553765,3.600,0.900,0.110,2000.0,30.0,A,3.826,0.500,0.100,2000.0,30.0,A,0.0
3.900,1,378.8853989,14.31554679,3.600,0.900,0.110,2000.0,30.0,A,4.252,0.500,0.100,2000.0,30.0,A,0.0
4.000,1,378.8831457,11.93065877,4.724,0.500,0.161,2000.0,30.0,A,5.249,0.062,0.146,2000.0,30.0,A,0.0
4.100,1,378.8814364,5.791506050000001,4.649,0.100,0.236,2000.0,30.0,A,5.249,0.062,0.146,2000.0,30.0,A,0.0
4.200,1,378.8807371,-5.399051527,4.649,0.500,0.236,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
4.300,1,378.8795716,5.273485391,4.649,0.100,0.236,2000.0,30.0,A,5.249,0.062,0.146,2000.0,30.0,A,0.0
4.400,1,378.8772666,1.021735893,4.000,2.000,0.100,2000.0,30.0,A,4.724,0.500,0.161,2000.0,30.0,A,0.0
4.500,1,378.870507,0.722029343,4.000,2.000,0.100,2000.0,30.0,A,4.252,0.500,0.177,2000.0,30.0,A,0.0
4.600,1,378.8693934,1.7813828,4.000,2.000,0.100,2000.0,30.0,A,4.724,0.500,0.161,2000.0,30.0,A,0.0
4.700,1,378.8526627,-4.485497618,5.249,0.062,0.146,2000.0,30.0,A,5.000,0.500,0.100,2000.0,30.0,A,0.0
4.800,1,378.8502541,-0.808886346,5.249,0.062,0.146,2000.0,30.0,A,5.249,0.062,0.146,2000.0,30.0,A,0.0
4.900,1,378.8489591,-7.842335751000002,5.832,0.325,0.133,2000.0,30.0,A,4.724,0.500,0.161,2000.0,30.0,A,0.0
5.000,1,378.8468872,-11.09309901,6.480,0.850,0.121,2000.0,30.0,A,4.724,0.500,0.161,2000.0,30.0,A,0.0
5.100,1,378.8455146,-12.22062287,5.832,0.325,0.133,2000.0,30.0,A,4.252,0.150,0.177,2000.0,30.0,A,0.0
5.200,1,374.6559275,-14.14468196,5.000,0.325,0.133,2000.0,30.0,A,4.252,0.500,0.177,2000.0,30.0,A,0.0
5.300,1,374.6551505,-15.47861255,6.000,0.500,0.146,2000.0,30.0,A,4.724,0.500,0.161,2000.0,30.0,A,0.0
5.400,1,374.6537519,-12.60502039,6.480,0.850,0.121,2000.0,30.0,A,4.252,0.500,0.177,2000.0,30.0,A,0.0
5.500,1,374.6468887,-9.834472437,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.500,0.161,2000.0,30.0,A,0.0
5.600,1,374.6456456,-7.137035947,6.480,0.850,0.121,2000.0,30.0,A,4.252,0.500,0.177,2000.0,30.0,A,0.0
5.700,1,374.6438068,-3.449107074,6.480,0.850,0.121,2000.0,30.0,A,5.000,0.500,0.121,2000.0,30.0,A,0.0
5.800,1,374.6430039,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
5.900,1,374.6418902,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
6.000,1,374.6130648,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
6.100,1,374.610967,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
6.200,1,374.6078073,0.0,6.480,0.850,0.121,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
6.300,1,374.6069267,0.0,6.480,0.850,0.121,2000.0,30.0,A,5.249,0.062,0.146,2000.0,30.0,A,0.0
6.400,1,374.6052692,-2.2902356,6.480,0.850,0.121,2000.0,30.0,A,5.249,0.062,0.146,2000.0,30.0,A,0.0
6.500,1,374.6036894,-2.3669541089999995,6.480,0.850,0.121,2000.0,30.0,A,4.184,0.500,0.260,2000.0,30.0,A,0.0
6.600,1,374.6023167,1.189910073,6.480,0.850,0.121,2000.0,30.0,A,3.444,0.500,0.214,2000.0,30.0,A,0.0
6.700,1,374.6012031,4.05575032,6.480,0.850,0.121,2000.0,30.0,A,4.184,0.100,0.259,2000.0,30.0,A,0.0
6.800,1,374.599675,0.0,7.200,1.900,0.110,2000.0,30.0,A,3.766,0.100,0.285,2000.0,30.0,A,0.0
6.900,1,374.5979657,-1.5385560490000003,6.480,0.850,0.121,2000.0,30.0,A,4.724,0.500,0.161,2000.0,30.0,A,0.0
7.000,1,374.5962823,-7.222316462,6.480,0.850,0.121,2000.0,30.0,A,5.249,0.062,0.146,2000.0,30.0,A,0.0
7.100,1,374.5950909,-12.352919109999998,6.480,0.850,0.121,2000.0,30.0,A,4.649,0.100,0.236,2000.0,30.0,A,0.0
7.200,1,374.2282589,-1.359514572,7.200,1.900,0.110,2000.0,30.0,A,4.649,0.100,0.236,2000.0,30.0,A,0.0
7.300,1,374.2266791,1.238965757,7.200,1.900,0.110,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
7.400,1,374.225177,15.76512436,7.200,1.900,0.110,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
7.500,1,374.2224058,3.6572359379999995,6.480,0.850,0.121,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
7.600,1,374.2204116,-7.44980021,6.480,0.850,0.121,2000.0,30.0,A,5.000,0.500,0.121,2000.0,30.0,A,0.0
7.700,1,374.2190907,-8.309146652,6.480,0.850,0.121,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
7.800,1,374.2055974,-1.344862952,6.480,0.850,0.121,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
7.900,1,374.2032406,3.666716207,7.200,1.900,0.110,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
8.000,1,374.1994076,8.259338315999997,7.200,1.900,0.110,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
8.100,1,374.1974651,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
8.200,1,374.1956522,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
8.300,1,374.1939688,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
8.400,1,374.1910681,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
8.500,1,374.187779,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
8.600,1,374.1860437,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
8.700,1,374.184179,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.100,1.000,2000.0,30.0,A,0.0
8.800,1,374.1804496,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
8.900,1,374.1788697,-2.989310656,5.832,0.325,0.133,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
9.000,1,374.1769014,2.8856998419999997,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
9.100,1,374.1670598,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
9.200,1,374.1662311,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,0.100,0.100,2000.0,30.0,A,0.0
9.300,1,374.1599894,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
9.400,1,374.157788,0.0,7.200,1.900,0.110,2000.0,30.0,A,7.200,1.900,0.110,2000.0,30.0,A,0.0
9.500,1,374.1528672,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
9.600,1,374.1514428,0.0,6.480,0.850,0.121,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
9.700,1,374.1491378,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
9.800,1,374.1478947,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
9.900,1,374.1455897,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
10.000,1,374.1412386,0.0,6.480,0.850,0.121,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
10.100,1,374.1405394,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
10.200,1,374.1334949,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,0.500,0.100,2000.0,30.0,A,0.0
10.300,1,374.1314489,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
10.400,1,374.1283151,0.0,4.000,2.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
10.500,1,374.127823,0.0,4.000,2.000,0.100,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
10.600,1,374.1236274,0.0,7.200,1.900,0.110,2000.0,30.0,A,7.200,1.900,0.110,2000.0,30.0,A,0.0
10.700,1,374.1227727,0.0,7.200,1.900,0.110,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
10.800,1,374.1221512,0.0,7.200,1.900,0.110,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
10.900,1,374.1212447,0.0,5.832,0.325,0.133,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
11.000,1,374.1175152,0.0,6.480,0.850,0.121,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
11.100,1,374.1159872,0.0,7.200,1.900,0.110,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
11.200,1,374.1115844,0.0,4.000,0.500,1.000,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
11.300,1,374.1104707,0.0,4.000,2.000,0.100,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
11.400,1,374.1084765,0.0,4.000,2.000,0.100,2000.0,30.0,A,7.200,1.900,0.110,2000.0,30.0,A,0.0
11.500,1,374.1074665,0.0,4.000,2.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
11.600,1,373.403638,0.0,4.000,2.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
11.700,1,373.4014625,0.0,4.000,2.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
11.800,1,373.3980697,0.0,4.000,2.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
11.900,1,373.3961791,0.0,6.480,0.850,0.121,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.000,1,373.3947547,0.0,5.832,0.325,0.133,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.100,1,373.3924497,0.0,4.000,2.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.200,1,373.3910252,0.0,6.480,0.850,0.121,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.300,1,373.3877361,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.400,1,373.3844728,0.0,6.480,0.850,0.121,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.500,1,373.3814686,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.600,1,373.3798628,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.700,1,373.3778168,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.800,1,373.3752269,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
12.900,1,373.3745017,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
13.000,1,373.371368,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
13.100,1,373.370332,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
13.200,1,373.3659551,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
13.300,1,373.3632875,0.0,7.200,1.900,0.110,2000.0,30.0,A,7.200,1.900,0.110,2000.0,30.0,A,0.0
13.400,1,373.362407,0.0,6.480,0.850,0.121,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
13.500,1,373.3581336,0.0,7.200,1.900,0.110,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
13.600,1,373.3554143,0.0,7.200,1.900,0.110,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
13.700,1,373.1543352,0.0,7.200,1.900,0.110,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
13.800,1,373.1539208,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
13.900,1,373.151823,2.289607494,7.200,1.900,0.110,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
14.000,1,373.1493885,6.643528926999999,6.480,0.850,0.121,2000.0,30.0,A,6.480,0.850,0.121,2000.0,30.0,A,0.0
14.100,1,373.1471353,0.073692033,7.200,1.900,0.110,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
14.200,1,373.1459699,-1.342094309,5.832,0.325,0.133,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
14.300,1,373.1425771,-2.859205834,6.480,0.850,0.121,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
14.400,1,373.1398059,-7.119916358,5.249,0.062,0.146,2000.0,30.0,A,5.249,0.062,0.146,2000.0,30.0,A,0.0
14.500,1,373.1379671,0.0,7.200,1.900,0.110,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
14.600,1,373.1349887,-2.886273962,7.200,1.900,0.110,2000.0,30.0,A,5.832,0.325,0.133,2000.0,30.0,A,0.0
14.700,1,373.1335125,2.8656578240000004,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
14.800,1,372.7795781,3.436977222,6.480,0.850,0.121,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
14.900,1,372.7782832,-3.631782681,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.000,1,372.7765739,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.100,1,372.7745279,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.200,1,372.773466,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.300,1,372.7705653,0.0,6.480,0.850,0.121,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.400,1,372.7626144,0.0,6.480,0.850,0.121,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.500,1,372.7614748,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.600,1,372.7598691,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.700,1,364.545878,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.800,1,364.5447126,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
15.900,1,364.5434694,0.5972351950000001,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.000,1,364.5413975,4.911980454,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.100,1,364.5389112,-6.093458376999999,5.832,0.325,0.133,2000.0,30.0,A,7.200,1.900,0.110,2000.0,30.0,A,0.0
16.200,1,364.5333429,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.300,1,364.5322552,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.400,1,364.5300797,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.500,1,364.528707,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.600,1,364.5221546,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.700,1,364.5206266,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.800,1,364.5173374,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
16.900,1,364.514877,-2.5089418349999995,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.000,1,364.5120799,2.453788613,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.100,1,364.5103706,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.200,1,364.507185,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.300,1,364.5045693,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.400,1,340.9842255,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.500,1,340.9827493,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.600,1,340.9810141,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.700,1,340.9795119,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.800,1,340.9759897,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
17.900,1,340.975135,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.000,1,340.9722861,0.0,4.000,2.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.100,1,340.9697998,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.200,1,340.9685308,0.0,6.480,0.850,0.121,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.300,1,340.9654229,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.400,1,340.963351,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.500,1,340.9596993,0.0,7.200,1.900,0.110,2000.0,30.0,A,4.000,2.000,0.100,2000.0,30.0,A,0.0
18.600,1,340.9585856,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.700,1,340.9559698,0.0,7.200,1.900,0.110,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.800,1,340.952603,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
18.900,1,340.9507382,0.0,8.000,4.000,0.100,2000.0,30.0,A,7.200,1.900,0.110,2000.0,30.0,A,0.0
19.000,1,340.9493656,0.0,8.000,4.000,0.100,2000.0,30.0,A,7.200,1.900,0.110,2000.0,30.0,A,0.0
19.100,1,340.9449628,0.0,8.000,4.000,0.100,2000.0,30.0,A,7.200,1.900,0.110,2000.0,30.0,A,0.0
19.200,1,340.9425801,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
19.300,1,340.9405082,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
19.400,1,340.9386694,0.0,8.000,4.000,0.100,2000.0,30.0,A,8.000,4.000,0.100,2000.0,30.0,A,0.0
